iter	Passed	Remaining
399	35357	22893
400	35443	22803
401	35523	22710
402	35614	22623
403	35698	22532
404	35780	22440
405	35869	22351
406	35955	22262
407	36041	22172
408	36127	22083
409	36211	21991
410	36297	21901
411	36392	21817
412	36502	21742
413	36589	21653
414	36696	21576
415	36789	21490
416	36872	21398
417	36956	21307
418	37041	21217
419	37203	21170
420	37295	21084
421	37380	20993
422	37469	20904
423	37555	20814
424	37650	20729
425	37778	20662
