iter	Logloss
179	0.1356668007
180	0.1353664528
181	0.1349962721
182	0.1345595107
183	0.1337577272
184	0.133132728
185	0.1324382012
186	0.1318156278
187	0.1313793831
188	0.1307694262
189	0.1302359435
190	0.1294963583
191	0.1287969552
192	0.128278406
193	0.1275507717
194	0.1269835714
195	0.1262848508
196	0.1257016062
197	0.125265816
198	0.1245604518
199	0.1240006659
200	0.1233975641
201	0.1230379447
202	0.1226324355
203	0.1222870979
204	0.1216491026
205	0.1210459116
206	0.1206086728
207	0.1199848395
208	0.1194897722
209	0.1189332936
210	0.118364493
211	0.1179205245
212	0.1173784919
213	0.1168128685
214	0.1162892419
215	0.1154648896
216	0.1151722055
217	0.1146571633
218	0.1142521762
219	0.1138704006
220	0.1132567897
221	0.1127864263
222	0.1122842472
223	0.1119587904
224	0.1114776466
225	0.111073486
226	0.110556139
227	0.1100866705
228	0.1097284876
229	0.1091004654
230	0.1086308414
231	0.1080253919
232	0.1077877029
233	0.1072143992
234	0.1066313357
235	0.1061809891
236	0.1056717747
237	0.1051739955
238	0.1048595893
239	0.1043089698
240	0.1037428824
241	0.1033374139
242	0.1030967192
243	0.1027167613
244	0.102427002
245	0.1019682352
246	0.1015655635
247	0.101206206
248	0.1008283697
249	0.1005139886
250	0.1002611815
251	0.09976064421
252	0.09947335394
253	0.09909329238
254	0.09858377651
255	0.09819657467
256	0.09784166387
257	0.09751765894
258	0.09690199885
259	0.09645936324
260	0.09619851114
261	0.09585901279
262	0.09556896541
263	0.09525671574
264	0.09496196873
265	0.09457024322
266	0.09431111054
267	0.09405511731
268	0.09370073084
269	0.09335082914
270	0.09305396441
271	0.09281641931
272	0.0925575904
273	0.09220228405
274	0.09184365705
275	0.091432475
276	0.09110173995
277	0.09084202628
278	0.09056752787
279	0.0901475776
280	0.08986178484
281	0.08957859964
282	0.08925419493
283	0.08912605852
284	0.08877925219
285	0.08846342726
286	0.0883023626
287	0.08808455163
288	0.0878260184
289	0.087600978
290	0.08728104859
291	0.08699641077
292	0.08666127933
293	0.0864063378
294	0.08625845194
295	0.08595218389
296	0.08560903043
297	0.08525093287
298	0.08506790894
299	0.08478917303
300	0.08455848841
301	0.08424356077
302	0.08401982153
303	0.08373809806
304	0.08339420909
305	0.08303467844
306	0.08272453555
307	0.08258586696
308	0.08229578344
309	0.08204326763
310	0.08183442444
311	0.08169078973
312	0.08138297762
313	0.08122687903
314	0.08089894557
315	0.08061155704
316	0.08028801825
317	0.07995748601
318	0.07975539744
319	0.07943884141
320	0.0790988078
321	0.07895898566
322	0.07882163942
323	0.07863158244
324	0.07850764283
325	0.07827487141
326	0.07803654
327	0.07783279606
328	0.07757839776
329	0.07728687622
330	0.07702405285
331	0.07685764623
332	0.07654752985
333	0.07627947341
334	0.0761185524
335	0.07587290775
336	0.07558391329
337	0.07525790206
338	0.07503367632
339	0.07487550424
340	0.07462269483
341	0.07443665518
342	0.07412939715
343	0.07392876607
344	0.07369906858
345	0.07341221191
346	0.07310064861
347	0.07296837256
348	0.07280149998
349	0.07259929172
350	0.07242776566
351	0.07215779412
352	0.07207114003
353	0.07193738293
354	0.07167417324
355	0.07145644387
356	0.07116646213
357	0.07095852356
358	0.07076209072
359	0.07054232085
360	0.07029783596
361	0.07003164957
362	0.06981166498
363	0.06955097885
364	0.06939260143
365	0.06923739177
366	0.06908432
367	0.06888820979
368	0.06868914381
369	0.06841785937
370	0.06820408245
371	0.06800973011
372	0.06780103251
373	0.06753305363
374	0.06735003082
375	0.06717351612
376	0.06711121668
377	0.0669244154
378	0.06678848259
379	0.06665652858
380	0.0665349242
381	0.0664037006
382	0.06621843548
383	0.06599408521
384	0.06584856017
385	0.06565581188
386	0.06548302103
387	0.06535617849
388	0.06522347414
389	0.06499182499
390	0.06483518403
391	0.06465060838
392	0.06454447045
393	0.064371008
394	0.06427641158
395	0.06401470601
396	0.06380958649
397	0.06365393337
398	0.06346413494
399	0.06333984846
400	0.06325141709
401	0.06317733369
402	0.06301338347
403	0.06294075071
404	0.06274882539
405	0.06259625283
406	0.06244940028
407	0.06227184577
408	0.06215500197
409	0.06196324463
410	0.06179355079
411	0.06160654404
412	0.06153713262
413	0.06146067164
414	0.06133540458
415	0.06120757947
416	0.06110934202
417	0.06096219375
418	0.06082892517
419	0.06066906131
420	0.06055049602
421	0.06041248228
422	0.06028698456
423	0.06012809379
424	0.06005378399
425	0.05983875158
