iter	Logloss
0	0.6816868973
1	0.6706308383
2	0.6588211199
3	0.64774483
4	0.6368333433
5	0.6273270093
6	0.6182017045
7	0.6077570961
8	0.5969517984
9	0.587190375
10	0.5769134605
11	0.5676616394
12	0.5589879273
13	0.5497462478
14	0.5405837611
15	0.5318581083
16	0.5252154086
17	0.5171175235
18	0.5098889583
19	0.5018640205
20	0.4935692547
21	0.4864601523
22	0.4803901352
23	0.4743264262
24	0.4685231353
25	0.4622535217
26	0.4551037387
27	0.4500524449
28	0.4439188521
29	0.4377747079
30	0.4315326768
31	0.4257735396
32	0.4197887003
33	0.413470135
34	0.4079703926
35	0.4022260463
36	0.3974292829
37	0.3923185298
38	0.3878052996
39	0.3825514177
40	0.3783763123
41	0.3738804882
42	0.3704710727
43	0.3659457137
44	0.3617847494
45	0.3575297576
46	0.3534696739
47	0.3491281717
48	0.3455107594
49	0.3417336966
50	0.3376175612
51	0.3338048564
52	0.330069802
53	0.3266281898
54	0.3228904395
55	0.3188900057
56	0.3158482637
57	0.3120595677
58	0.3096055076
59	0.3060068979
60	0.3024068717
61	0.2993361073
62	0.2967751725
63	0.2940555981
64	0.2908325973
65	0.2885525051
66	0.285390912
67	0.2823781807
68	0.279789561
69	0.2767551652
70	0.2739390838
71	0.2712496119
72	0.2694016881
73	0.2668177744
74	0.2643018408
75	0.2618640127
76	0.2596636685
77	0.2570814272
78	0.2553121298
79	0.2535249186
80	0.2512053129
81	0.2487147069
82	0.2466173091
83	0.2442600041
84	0.2419351093
85	0.2396910781
86	0.2378011373
87	0.2359020867
88	0.2336695484
89	0.2320148122
90	0.2301455473
91	0.2280385296
92	0.2258269735
93	0.2245043062
94	0.2222038426
95	0.2201314875
96	0.2185712011
97	0.2170348084
98	0.2151880091
99	0.2131969143
100	0.212123476
101	0.2106398197
102	0.2090505972
103	0.2075101505
104	0.2062000707
105	0.204805645
106	0.2038340644
107	0.2023746471
108	0.2012187584
109	0.1995069091
110	0.1977885553
111	0.1965408566
112	0.1950816834
113	0.1939604192
114	0.1926136182
115	0.1914045244
116	0.1903745943
117	0.1887953706
118	0.1872223808
119	0.185870372
120	0.1845997882
121	0.1834218737
122	0.1824394797
123	0.1811407386
124	0.1798457626
125	0.1788551302
126	0.177749503
127	0.1767173028
128	0.1757033722
129	0.1748211509
130	0.1738743273
131	0.1727818229
132	0.1719050467
133	0.1714302671
134	0.1703350491
135	0.1693841177
136	0.1688445989
137	0.1677958883
138	0.1671042828
139	0.166454929
140	0.1656789926
141	0.1645978932
142	0.1638053539
143	0.1629522039
144	0.1618375787
145	0.1612835451
146	0.1601184009
147	0.159602466
148	0.1587034831
149	0.1579213549
150	0.1567412222
151	0.1556948143
152	0.1548828134
153	0.154430815
154	0.1535011551
155	0.1530955574
156	0.1523504819
157	0.1517937435
158	0.1512119168
159	0.1501952727
160	0.1496044709
161	0.1489035979
162	0.1482381162
163	0.1475191279
164	0.1468371883
165	0.1460422195
166	0.1456692975
167	0.14480192
168	0.1439720574
169	0.1431889621
170	0.1423141
171	0.141777277
172	0.1411282713
173	0.1403723448
174	0.1399445019
175	0.1391894688
176	0.138344642
177	0.1374282357
178	0.1364860145
